state,race,gender,age_bin,year,population
AL,African-American/Black,Male,0-14,2010,149023
AL,African-American/Black,Male,0-14,2011,148390
AL,African-American/Black,Male,0-14,2012,147684
AL,African-American/Black,Male,0-14,2013,146568
AL,African-American/Black,Male,0-14,2014,145704
AL,African-American/Black,Male,0-14,2015,144741
AL,African-American/Black,Male,0-14,2016,143917
AL,African-American/Black,Male,0-14,2017,143645
AL,African-American/Black,Male,0-14,2018,143998
AL,African-American/Black,Male,0-14,2019,144192
AL,African-American/Black,Male,0-14,2020,144422
AL,African-American/Black,Male,15-24,2010,105734
AL,African-American/Black,Male,15-24,2011,106220
AL,African-American/Black,Male,15-24,2012,107388
AL,African-American/Black,Male,15-24,2013,108501
AL,African-American/Black,Male,15-24,2014,107873
AL,African-American/Black,Male,15-24,2015,107017
AL,African-American/Black,Male,15-24,2016,105442
AL,African-American/Black,Male,15-24,2017,103114
AL,African-American/Black,Male,15-24,2018,100685
AL,African-American/Black,Male,15-24,2019,98553
AL,African-American/Black,Male,15-24,2020,97340
AL,African-American/Black,Male,25-34,2010,79739
AL,African-American/Black,Male,25-34,2011,80859
AL,African-American/Black,Male,25-34,2012,82145
AL,African-American/Black,Male,25-34,2013,83918
AL,African-American/Black,Male,25-34,2014,85422
AL,African-American/Black,Male,25-34,2015,87233
AL,African-American/Black,Male,25-34,2016,89183
AL,African-American/Black,Male,25-34,2017,90984
AL,African-American/Black,Male,25-34,2018,92806
AL,African-American/Black,Male,25-34,2019,94660
AL,African-American/Black,Male,25-34,2020,95693
AL,African-American/Black,Male,35-54,2010,152468
AL,African-American/Black,Male,35-54,2011,150667
AL,African-American/Black,Male,35-54,2012,149547
AL,African-American/Black,Male,35-54,2013,148915
AL,African-American/Black,Male,35-54,2014,148333
AL,African-American/Black,Male,35-54,2015,148022
AL,African-American/Black,Male,35-54,2016,147285
AL,African-American/Black,Male,35-54,2017,146114
AL,African-American/Black,Male,35-54,2018,144949
AL,African-American/Black,Male,35-54,2019,144033
AL,African-American/Black,Male,35-54,2020,143126
AL,African-American/Black,Male,55-84,2010,103253
AL,African-American/Black,Male,55-84,2011,107174
AL,African-American/Black,Male,55-84,2012,111742
AL,African-American/Black,Male,55-84,2013,115868
AL,African-American/Black,Male,55-84,2014,119780
AL,African-American/Black,Male,55-84,2015,123861
AL,African-American/Black,Male,55-84,2016,127403
AL,African-American/Black,Male,55-84,2017,130600
AL,African-American/Black,Male,55-84,2018,133648
AL,African-American/Black,Male,55-84,2019,136558
AL,African-American/Black,Male,55-84,2020,139036
AL,African-American/Black,Male,85+,2010,3749
AL,African-American/Black,Male,85+,2011,3860
AL,African-American/Black,Male,85+,2012,3901
AL,African-American/Black,Male,85+,2013,3933
AL,African-American/Black,Male,85+,2014,4085
AL,African-American/Black,Male,85+,2015,4243
AL,African-American/Black,Male,85+,2016,4308
AL,African-American/Black,Male,85+,2017,4495
AL,African-American/Black,Male,85+,2018,4643
AL,African-American/Black,Male,85+,2019,4769
AL,African-American/Black,Male,85+,2020,4851
AL,African-American/Black,Female,0-14,2010,145308
AL,African-American/Black,Female,0-14,2011,144511
AL,African-American/Black,Female,0-14,2012,144082
AL,African-American/Black,Female,0-14,2013,143140
AL,African-American/Black,Female,0-14,2014,142406
AL,African-American/Black,Female,0-14,2015,141240
AL,African-American/Black,Female,0-14,2016,140456
AL,African-American/Black,Female,0-14,2017,140387
AL,African-American/Black,Female,0-14,2018,140629
AL,African-American/Black,Female,0-14,2019,141028
AL,African-American/Black,Female,0-14,2020,141150
AL,African-American/Black,Female,15-24,2010,110933
AL,African-American/Black,Female,15-24,2011,110982
AL,African-American/Black,Female,15-24,2012,111323
AL,African-American/Black,Female,15-24,2013,111754
AL,African-American/Black,Female,15-24,2014,110577
AL,African-American/Black,Female,15-24,2015,109616
AL,African-American/Black,Female,15-24,2016,107599
AL,African-American/Black,Female,15-24,2017,105709
AL,African-American/Black,Female,15-24,2018,103980
AL,African-American/Black,Female,15-24,2019,101680
AL,African-American/Black,Female,15-24,2020,100298
AL,African-American/Black,Female,25-34,2010,94833
AL,African-American/Black,Female,25-34,2011,95917
AL,African-American/Black,Female,25-34,2012,96660
AL,African-American/Black,Female,25-34,2013,97417
AL,African-American/Black,Female,25-34,2014,98404
AL,African-American/Black,Female,25-34,2015,99360
AL,African-American/Black,Female,25-34,2016,101021
AL,African-American/Black,Female,25-34,2017,102160
AL,African-American/Black,Female,25-34,2018,103232
AL,African-American/Black,Female,25-34,2019,104067
AL,African-American/Black,Female,25-34,2020,104546
AL,African-American/Black,Female,35-54,2010,183978
AL,African-American/Black,Female,35-54,2011,182784
AL,African-American/Black,Female,35-54,2012,181822
AL,African-American/Black,Female,35-54,2013,181137
AL,African-American/Black,Female,35-54,2014,180874
AL,African-American/Black,Female,35-54,2015,180545
AL,African-American/Black,Female,35-54,2016,180027
AL,African-American/Black,Female,35-54,2017,179960
AL,African-American/Black,Female,35-54,2018,179291
AL,African-American/Black,Female,35-54,2019,178846
AL,African-American/Black,Female,35-54,2020,178814
AL,African-American/Black,Female,55-84,2010,135925
AL,African-American/Black,Female,55-84,2011,140963
AL,African-American/Black,Female,55-84,2012,146098
AL,African-American/Black,Female,55-84,2013,151202
AL,African-American/Black,Female,55-84,2014,156450
AL,African-American/Black,Female,55-84,2015,161824
AL,African-American/Black,Female,55-84,2016,166711
AL,African-American/Black,Female,55-84,2017,171664
AL,African-American/Black,Female,55-84,2018,176333
AL,African-American/Black,Female,55-84,2019,180633
AL,African-American/Black,Female,55-84,2020,184367
AL,African-American/Black,Female,85+,2010,10342
AL,African-American/Black,Female,85+,2011,10432
AL,African-American/Black,Female,85+,2012,10596
AL,African-American/Black,Female,85+,2013,10712
AL,African-American/Black,Female,85+,2014,10866
AL,African-American/Black,Female,85+,2015,11107
AL,African-American/Black,Female,85+,2016,11261
AL,African-American/Black,Female,85+,2017,11388
AL,African-American/Black,Female,85+,2018,11553
AL,African-American/Black,Female,85+,2019,11726
AL,African-American/Black,Female,85+,2020,11864
AL,Asian/Pacific Islander,Male,0-14,2010,8504
AL,Asian/Pacific Islander,Male,0-14,2011,8891
AL,Asian/Pacific Islander,Male,0-14,2012,9431
AL,Asian/Pacific Islander,Male,0-14,2013,9648
AL,Asian/Pacific Islander,Male,0-14,2014,9878
AL,Asian/Pacific Islander,Male,0-14,2015,10130
AL,Asian/Pacific Islander,Male,0-14,2016,10459
AL,Asian/Pacific Islander,Male,0-14,2017,10762
AL,Asian/Pacific Islander,Male,0-14,2018,10909
AL,Asian/Pacific Islander,Male,0-14,2019,10918
AL,Asian/Pacific Islander,Male,0-14,2020,11005
AL,Asian/Pacific Islander,Male,15-24,2010,5666
AL,Asian/Pacific Islander,Male,15-24,2011,5749
AL,Asian/Pacific Islander,Male,15-24,2012,6057
AL,Asian/Pacific Islander,Male,15-24,2013,6309
AL,Asian/Pacific Islander,Male,15-24,2014,6631
AL,Asian/Pacific Islander,Male,15-24,2015,6935
AL,Asian/Pacific Islander,Male,15-24,2016,7020
AL,Asian/Pacific Islander,Male,15-24,2017,6930
AL,Asian/Pacific Islander,Male,15-24,2018,6989
AL,Asian/Pacific Islander,Male,15-24,2019,7153
AL,Asian/Pacific Islander,Male,15-24,2020,7207
AL,Asian/Pacific Islander,Male,25-34,2010,5915
AL,Asian/Pacific Islander,Male,25-34,2011,5984
AL,Asian/Pacific Islander,Male,25-34,2012,6377
AL,Asian/Pacific Islander,Male,25-34,2013,6495
AL,Asian/Pacific Islander,Male,25-34,2014,6492
AL,Asian/Pacific Islander,Male,25-34,2015,6567
AL,Asian/Pacific Islander,Male,25-34,2016,6813
AL,Asian/Pacific Islander,Male,25-34,2017,7169
AL,Asian/Pacific Islander,Male,25-34,2018,7303
AL,Asian/Pacific Islander,Male,25-34,2019,7418
AL,Asian/Pacific Islander,Male,25-34,2020,7490
AL,Asian/Pacific Islander,Male,35-54,2010,9369
AL,Asian/Pacific Islander,Male,35-54,2011,9690
AL,Asian/Pacific Islander,Male,35-54,2012,10171
AL,Asian/Pacific Islander,Male,35-54,2013,10608
AL,Asian/Pacific Islander,Male,35-54,2014,10929
AL,Asian/Pacific Islander,Male,35-54,2015,11269
AL,Asian/Pacific Islander,Male,35-54,2016,11640
AL,Asian/Pacific Islander,Male,35-54,2017,11979
AL,Asian/Pacific Islander,Male,35-54,2018,12198
AL,Asian/Pacific Islander,Male,35-54,2019,12436
AL,Asian/Pacific Islander,Male,35-54,2020,12643
AL,Asian/Pacific Islander,Male,55-84,2010,3852
AL,Asian/Pacific Islander,Male,55-84,2011,4129
AL,Asian/Pacific Islander,Male,55-84,2012,4491
AL,Asian/Pacific Islander,Male,55-84,2013,4761
AL,Asian/Pacific Islander,Male,55-84,2014,5110
AL,Asian/Pacific Islander,Male,55-84,2015,5511
AL,Asian/Pacific Islander,Male,55-84,2016,5903
AL,Asian/Pacific Islander,Male,55-84,2017,6281
AL,Asian/Pacific Islander,Male,55-84,2018,6663
AL,Asian/Pacific Islander,Male,55-84,2019,7089
AL,Asian/Pacific Islander,Male,55-84,2020,7355
AL,Asian/Pacific Islander,Male,85+,2010,82
AL,Asian/Pacific Islander,Male,85+,2011,88
AL,Asian/Pacific Islander,Male,85+,2012,105
AL,Asian/Pacific Islander,Male,85+,2013,125
AL,Asian/Pacific Islander,Male,85+,2014,149
AL,Asian/Pacific Islander,Male,85+,2015,166
AL,Asian/Pacific Islander,Male,85+,2016,192
AL,Asian/Pacific Islander,Male,85+,2017,210
AL,Asian/Pacific Islander,Male,85+,2018,239
AL,Asian/Pacific Islander,Male,85+,2019,258
AL,Asian/Pacific Islander,Male,85+,2020,292
AL,Asian/Pacific Islander,Female,0-14,2010,8480
AL,Asian/Pacific Islander,Female,0-14,2011,8804
AL,Asian/Pacific Islander,Female,0-14,2012,9307
AL,Asian/Pacific Islander,Female,0-14,2013,9776
AL,Asian/Pacific Islander,Female,0-14,2014,10147
AL,Asian/Pacific Islander,Female,0-14,2015,10441
AL,Asian/Pacific Islander,Female,0-14,2016,10779
AL,Asian/Pacific Islander,Female,0-14,2017,10915
AL,Asian/Pacific Islander,Female,0-14,2018,10909
AL,Asian/Pacific Islander,Female,0-14,2019,11044
AL,Asian/Pacific Islander,Female,0-14,2020,11040
AL,Asian/Pacific Islander,Female,15-24,2010,5393
AL,Asian/Pacific Islander,Female,15-24,2011,5702
AL,Asian/Pacific Islander,Female,15-24,2012,6094
AL,Asian/Pacific Islander,Female,15-24,2013,6464
AL,Asian/Pacific Islander,Female,15-24,2014,6635
AL,Asian/Pacific Islander,Female,15-24,2015,6937
AL,Asian/Pacific Islander,Female,15-24,2016,7164
AL,Asian/Pacific Islander,Female,15-24,2017,7328
AL,Asian/Pacific Islander,Female,15-24,2018,7494
AL,Asian/Pacific Islander,Female,15-24,2019,7624
AL,Asian/Pacific Islander,Female,15-24,2020,7806
AL,Asian/Pacific Islander,Female,25-34,2010,6563
AL,Asian/Pacific Islander,Female,25-34,2011,6761
AL,Asian/Pacific Islander,Female,25-34,2012,7124
AL,Asian/Pacific Islander,Female,25-34,2013,7201
AL,Asian/Pacific Islander,Female,25-34,2014,7210
AL,Asian/Pacific Islander,Female,25-34,2015,7273
AL,Asian/Pacific Islander,Female,25-34,2016,7509
AL,Asian/Pacific Islander,Female,25-34,2017,7737
AL,Asian/Pacific Islander,Female,25-34,2018,7741
AL,Asian/Pacific Islander,Female,25-34,2019,7700
AL,Asian/Pacific Islander,Female,25-34,2020,7657
AL,Asian/Pacific Islander,Female,35-54,2010,10557
AL,Asian/Pacific Islander,Female,35-54,2011,10909
AL,Asian/Pacific Islander,Female,35-54,2012,11537
AL,Asian/Pacific Islander,Female,35-54,2013,11955
AL,Asian/Pacific Islander,Female,35-54,2014,12464
AL,Asian/Pacific Islander,Female,35-54,2015,12891
AL,Asian/Pacific Islander,Female,35-54,2016,13246
AL,Asian/Pacific Islander,Female,35-54,2017,13678
AL,Asian/Pacific Islander,Female,35-54,2018,14014
AL,Asian/Pacific Islander,Female,35-54,2019,14302
AL,Asian/Pacific Islander,Female,35-54,2020,14585
AL,Asian/Pacific Islander,Female,55-84,2010,5711
AL,Asian/Pacific Islander,Female,55-84,2011,6051
AL,Asian/Pacific Islander,Female,55-84,2012,6436
AL,Asian/Pacific Islander,Female,55-84,2013,6837
AL,Asian/Pacific Islander,Female,55-84,2014,7261
AL,Asian/Pacific Islander,Female,55-84,2015,7690
AL,Asian/Pacific Islander,Female,55-84,2016,8193
AL,Asian/Pacific Islander,Female,55-84,2017,8634
AL,Asian/Pacific Islander,Female,55-84,2018,9010
AL,Asian/Pacific Islander,Female,55-84,2019,9551
AL,Asian/Pacific Islander,Female,55-84,2020,10002
AL,Asian/Pacific Islander,Female,85+,2010,123
AL,Asian/Pacific Islander,Female,85+,2011,151
AL,Asian/Pacific Islander,Female,85+,2012,189
AL,Asian/Pacific Islander,Female,85+,2013,219
AL,Asian/Pacific Islander,Female,85+,2014,249
AL,Asian/Pacific Islander,Female,85+,2015,294
AL,Asian/Pacific Islander,Female,85+,2016,341
AL,Asian/Pacific Islander,Female,85+,2017,376
AL,Asian/Pacific Islander,Female,85+,2018,421
AL,Asian/Pacific Islander,Female,85+,2019,459
AL,Asian/Pacific Islander,Female,85+,2020,477
AL,European-American/White,Male,0-14,2010,294513
AL,European-American/White,Male,0-14,2011,293113
AL,European-American/White,Male,0-14,2012,291419
AL,European-American/White,Male,0-14,2013,288856
AL,European-American/White,Male,0-14,2014,286869
AL,European-American/White,Male,0-14,2015,284555
AL,European-American/White,Male,0-14,2016,282640
AL,European-American/White,Male,0-14,2017,282042
AL,European-American/White,Male,0-14,2018,281196
AL,European-American/White,Male,0-14,2019,280014
AL,European-American/White,Male,0-14,2020,278406
AL,European-American/White,Male,15-24,2010,212007
AL,European-American/White,Male,15-24,2011,212001
AL,European-American/White,Male,15-24,2012,212624
AL,European-American/White,Male,15-24,2013,212651
AL,European-American/White,Male,15-24,2014,211363
AL,European-American/White,Male,15-24,2015,208924
AL,European-American/White,Male,15-24,2016,206165
AL,European-American/White,Male,15-24,2017,203289
AL,European-American/White,Male,15-24,2018,201189
AL,European-American/White,Male,15-24,2019,199785
AL,European-American/White,Male,15-24,2020,198759
AL,European-American/White,Male,25-34,2010,190956
AL,European-American/White,Male,25-34,2011,191788
AL,European-American/White,Male,25-34,2012,192238
AL,European-American/White,Male,25-34,2013,193209
AL,European-American/White,Male,25-34,2014,194966
AL,European-American/White,Male,25-34,2015,196665
AL,European-American/White,Male,25-34,2016,198271
AL,European-American/White,Male,25-34,2017,199129
AL,European-American/White,Male,25-34,2018,200146
AL,European-American/White,Male,25-34,2019,201566
AL,European-American/White,Male,25-34,2020,202719
AL,European-American/White,Male,35-54,2010,454135
AL,European-American/White,Male,35-54,2011,447033
AL,European-American/White,Male,35-54,2012,440153
AL,European-American/White,Male,35-54,2013,433973
AL,European-American/White,Male,35-54,2014,427286
AL,European-American/White,Male,35-54,2015,420718
AL,European-American/White,Male,35-54,2016,414126
AL,European-American/White,Male,35-54,2017,408105
AL,European-American/White,Male,35-54,2018,402894
AL,European-American/White,Male,35-54,2019,398152
AL,European-American/White,Male,35-54,2020,394468
AL,European-American/White,Male,55-84,2010,425253
AL,European-American/White,Male,55-84,2011,433889
AL,European-American/White,Male,55-84,2012,442593
AL,European-American/White,Male,55-84,2013,450473
AL,European-American/White,Male,55-84,2014,458340
AL,European-American/White,Male,55-84,2015,465995
AL,European-American/White,Male,55-84,2016,474022
AL,European-American/White,Male,55-84,2017,481016
AL,European-American/White,Male,55-84,2018,487791
AL,European-American/White,Male,55-84,2019,495220
AL,European-American/White,Male,55-84,2020,500977
AL,European-American/White,Male,85+,2010,19089
AL,European-American/White,Male,85+,2011,19859
AL,European-American/White,Male,85+,2012,20806
AL,European-American/White,Male,85+,2013,21460
AL,European-American/White,Male,85+,2014,22180
AL,European-American/White,Male,85+,2015,22929
AL,European-American/White,Male,85+,2016,23721
AL,European-American/White,Male,85+,2017,24658
AL,European-American/White,Male,85+,2018,25245
AL,European-American/White,Male,85+,2019,25787
AL,European-American/White,Male,85+,2020,26167
AL,European-American/White,Female,0-14,2010,280613
AL,European-American/White,Female,0-14,2011,279271
AL,European-American/White,Female,0-14,2012,277827
AL,European-American/White,Female,0-14,2013,275415
AL,European-American/White,Female,0-14,2014,273445
AL,European-American/White,Female,0-14,2015,271620
AL,European-American/White,Female,0-14,2016,269846
AL,European-American/White,Female,0-14,2017,268617
AL,European-American/White,Female,0-14,2018,267709
AL,European-American/White,Female,0-14,2019,266495
AL,European-American/White,Female,0-14,2020,265153
AL,European-American/White,Female,15-24,2010,206926
AL,European-American/White,Female,15-24,2011,205969
AL,European-American/White,Female,15-24,2012,206281
AL,European-American/White,Female,15-24,2013,205896
AL,European-American/White,Female,15-24,2014,204226
AL,European-American/White,Female,15-24,2015,201150
AL,European-American/White,Female,15-24,2016,197679
AL,European-American/White,Female,15-24,2017,194973
AL,European-American/White,Female,15-24,2018,193744
AL,European-American/White,Female,15-24,2019,192894
AL,European-American/White,Female,15-24,2020,192216
AL,European-American/White,Female,25-34,2010,192077
AL,European-American/White,Female,25-34,2011,193270
AL,European-American/White,Female,25-34,2012,193506
AL,European-American/White,Female,25-34,2013,194616
AL,European-American/White,Female,25-34,2014,196497
AL,European-American/White,Female,25-34,2015,198693
AL,European-American/White,Female,25-34,2016,200817
AL,European-American/White,Female,25-34,2017,202084
AL,European-American/White,Female,25-34,2018,202132
AL,European-American/White,Female,25-34,2019,202842
AL,European-American/White,Female,25-34,2020,203142
AL,European-American/White,Female,35-54,2010,457361
AL,European-American/White,Female,35-54,2011,450966
AL,European-American/White,Female,35-54,2012,444312
AL,European-American/White,Female,35-54,2013,438079
AL,European-American/White,Female,35-54,2014,431851
AL,European-American/White,Female,35-54,2015,425505
AL,European-American/White,Female,35-54,2016,419703
AL,European-American/White,Female,35-54,2017,414672
AL,European-American/White,Female,35-54,2018,410528
AL,European-American/White,Female,35-54,2019,406529
AL,European-American/White,Female,35-54,2020,403329
AL,European-American/White,Female,55-84,2010,487551
AL,European-American/White,Female,55-84,2011,495650
AL,European-American/White,Female,55-84,2012,504162
AL,European-American/White,Female,55-84,2013,512035
AL,European-American/White,Female,55-84,2014,519951
AL,European-American/White,Female,55-84,2015,527802
AL,European-American/White,Female,55-84,2016,536286
AL,European-American/White,Female,55-84,2017,544014
AL,European-American/White,Female,55-84,2018,551527
AL,European-American/White,Female,55-84,2019,560100
AL,European-American/White,Female,55-84,2020,566973
AL,European-American/White,Female,85+,2010,42324
AL,European-American/White,Female,85+,2011,42869
AL,European-American/White,Female,85+,2012,43724
AL,European-American/White,Female,85+,2013,44338
AL,European-American/White,Female,85+,2014,45191
AL,European-American/White,Female,85+,2015,45715
AL,European-American/White,Female,85+,2016,46506
AL,European-American/White,Female,85+,2017,46952
AL,European-American/White,Female,85+,2018,47161
AL,European-American/White,Female,85+,2019,47516
AL,European-American/White,Female,85+,2020,47615
AL,Hispanic/Latino,Male,0-14,2010,32088
AL,Hispanic/Latino,Male,0-14,2011,33348
AL,Hispanic/Latino,Male,0-14,2012,33615
AL,Hispanic/Latino,Male,0-14,2013,34224
AL,Hispanic/Latino,Male,0-14,2014,34871
AL,Hispanic/Latino,Male,0-14,2015,35862
AL,Hispanic/Latino,Male,0-14,2016,37028
AL,Hispanic/Latino,Male,0-14,2017,37917
AL,Hispanic/Latino,Male,0-14,2018,39133
AL,Hispanic/Latino,Male,0-14,2019,39950
AL,Hispanic/Latino,Male,0-14,2020,40594
AL,Hispanic/Latino,Male,15-24,2010,20848
AL,Hispanic/Latino,Male,15-24,2011,19412
AL,Hispanic/Latino,Male,15-24,2012,18169
AL,Hispanic/Latino,Male,15-24,2013,17658
AL,Hispanic/Latino,Male,15-24,2014,17118
AL,Hispanic/Latino,Male,15-24,2015,17014
AL,Hispanic/Latino,Male,15-24,2016,17431
AL,Hispanic/Latino,Male,15-24,2017,17757
AL,Hispanic/Latino,Male,15-24,2018,18576
AL,Hispanic/Latino,Male,15-24,2019,19318
AL,Hispanic/Latino,Male,15-24,2020,20353
AL,Hispanic/Latino,Male,25-34,2010,24978
AL,Hispanic/Latino,Male,25-34,2011,24495
AL,Hispanic/Latino,Male,25-34,2012,23518
AL,Hispanic/Latino,Male,25-34,2013,22506
AL,Hispanic/Latino,Male,25-34,2014,21733
AL,Hispanic/Latino,Male,25-34,2015,20845
AL,Hispanic/Latino,Male,25-34,2016,20197
AL,Hispanic/Latino,Male,25-34,2017,19434
AL,Hispanic/Latino,Male,25-34,2018,18869
AL,Hispanic/Latino,Male,25-34,2019,18275
AL,Hispanic/Latino,Male,25-34,2020,17659
AL,Hispanic/Latino,Male,35-54,2010,23192
AL,Hispanic/Latino,Male,35-54,2011,23904
AL,Hispanic/Latino,Male,35-54,2012,24666
AL,Hispanic/Latino,Male,35-54,2013,25480
AL,Hispanic/Latino,Male,35-54,2014,26204
AL,Hispanic/Latino,Male,35-54,2015,27172
AL,Hispanic/Latino,Male,35-54,2016,28142
AL,Hispanic/Latino,Male,35-54,2017,29273
AL,Hispanic/Latino,Male,35-54,2018,30161
AL,Hispanic/Latino,Male,35-54,2019,30737
AL,Hispanic/Latino,Male,35-54,2020,31456
AL,Hispanic/Latino,Male,55-84,2010,6151
AL,Hispanic/Latino,Male,55-84,2011,6688
AL,Hispanic/Latino,Male,55-84,2012,7270
AL,Hispanic/Latino,Male,55-84,2013,7803
AL,Hispanic/Latino,Male,55-84,2014,8330
AL,Hispanic/Latino,Male,55-84,2015,8909
AL,Hispanic/Latino,Male,55-84,2016,9494
AL,Hispanic/Latino,Male,55-84,2017,10220
AL,Hispanic/Latino,Male,55-84,2018,11065
AL,Hispanic/Latino,Male,55-84,2019,11881
AL,Hispanic/Latino,Male,55-84,2020,12767
AL,Hispanic/Latino,Male,85+,2010,184
AL,Hispanic/Latino,Male,85+,2011,199
AL,Hispanic/Latino,Male,85+,2012,224
AL,Hispanic/Latino,Male,85+,2013,242
AL,Hispanic/Latino,Male,85+,2014,258
AL,Hispanic/Latino,Male,85+,2015,313
AL,Hispanic/Latino,Male,85+,2016,356
AL,Hispanic/Latino,Male,85+,2017,412
AL,Hispanic/Latino,Male,85+,2018,452
AL,Hispanic/Latino,Male,85+,2019,499
AL,Hispanic/Latino,Male,85+,2020,537
AL,Hispanic/Latino,Female,0-14,2010,30339
AL,Hispanic/Latino,Female,0-14,2011,31701
AL,Hispanic/Latino,Female,0-14,2012,31943
AL,Hispanic/Latino,Female,0-14,2013,32842
AL,Hispanic/Latino,Female,0-14,2014,33477
AL,Hispanic/Latino,Female,0-14,2015,34394
AL,Hispanic/Latino,Female,0-14,2016,35680
AL,Hispanic/Latino,Female,0-14,2017,36666
AL,Hispanic/Latino,Female,0-14,2018,37737
AL,Hispanic/Latino,Female,0-14,2019,38673
AL,Hispanic/Latino,Female,0-14,2020,39567
AL,Hispanic/Latino,Female,15-24,2010,14841
AL,Hispanic/Latino,Female,15-24,2011,14735
AL,Hispanic/Latino,Female,15-24,2012,14383
AL,Hispanic/Latino,Female,15-24,2013,14382
AL,Hispanic/Latino,Female,15-24,2014,14433
AL,Hispanic/Latino,Female,15-24,2015,14771
AL,Hispanic/Latino,Female,15-24,2016,15469
AL,Hispanic/Latino,Female,15-24,2017,16157
AL,Hispanic/Latino,Female,15-24,2018,17043
AL,Hispanic/Latino,Female,15-24,2019,17965
AL,Hispanic/Latino,Female,15-24,2020,18794
AL,Hispanic/Latino,Female,25-34,2010,16909
AL,Hispanic/Latino,Female,25-34,2011,16983
AL,Hispanic/Latino,Female,25-34,2012,16913
AL,Hispanic/Latino,Female,25-34,2013,16595
AL,Hispanic/Latino,Female,25-34,2014,16168
AL,Hispanic/Latino,Female,25-34,2015,15700
AL,Hispanic/Latino,Female,25-34,2016,15508
AL,Hispanic/Latino,Female,25-34,2017,15419
AL,Hispanic/Latino,Female,25-34,2018,15413
AL,Hispanic/Latino,Female,25-34,2019,15304
AL,Hispanic/Latino,Female,25-34,2020,15355
AL,Hispanic/Latino,Female,35-54,2010,17434
AL,Hispanic/Latino,Female,35-54,2011,18363
AL,Hispanic/Latino,Female,35-54,2012,19210
AL,Hispanic/Latino,Female,35-54,2013,20100
AL,Hispanic/Latino,Female,35-54,2014,21000
AL,Hispanic/Latino,Female,35-54,2015,21915
AL,Hispanic/Latino,Female,35-54,2016,22837
AL,Hispanic/Latino,Female,35-54,2017,23559
AL,Hispanic/Latino,Female,35-54,2018,24442
AL,Hispanic/Latino,Female,35-54,2019,25256
AL,Hispanic/Latino,Female,35-54,2020,26057
AL,Hispanic/Latino,Female,55-84,2010,5774
AL,Hispanic/Latino,Female,55-84,2011,6227
AL,Hispanic/Latino,Female,55-84,2012,6731
AL,Hispanic/Latino,Female,55-84,2013,7253
AL,Hispanic/Latino,Female,55-84,2014,7732
AL,Hispanic/Latino,Female,55-84,2015,8288
AL,Hispanic/Latino,Female,55-84,2016,8849
AL,Hispanic/Latino,Female,55-84,2017,9443
AL,Hispanic/Latino,Female,55-84,2018,10208
AL,Hispanic/Latino,Female,55-84,2019,10969
AL,Hispanic/Latino,Female,55-84,2020,11845
AL,Hispanic/Latino,Female,85+,2010,308
AL,Hispanic/Latino,Female,85+,2011,337
AL,Hispanic/Latino,Female,85+,2012,394
AL,Hispanic/Latino,Female,85+,2013,438
AL,Hispanic/Latino,Female,85+,2014,477
AL,Hispanic/Latino,Female,85+,2015,528
AL,Hispanic/Latino,Female,85+,2016,571
AL,Hispanic/Latino,Female,85+,2017,656
AL,Hispanic/Latino,Female,85+,2018,735
AL,Hispanic/Latino,Female,85+,2019,803
AL,Hispanic/Latino,Female,85+,2020,826
AL,Native American/Alaskan,Male,0-14,2010,5248
AL,Native American/Alaskan,Male,0-14,2011,5174
AL,Native American/Alaskan,Male,0-14,2012,5100
AL,Native American/Alaskan,Male,0-14,2013,5004
AL,Native American/Alaskan,Male,0-14,2014,4937
AL,Native American/Alaskan,Male,0-14,2015,4801
AL,Native American/Alaskan,Male,0-14,2016,4760
AL,Native American/Alaskan,Male,0-14,2017,4725
AL,Native American/Alaskan,Male,0-14,2018,4692
AL,Native American/Alaskan,Male,0-14,2019,4709
AL,Native American/Alaskan,Male,0-14,2020,4766
AL,Native American/Alaskan,Male,15-24,2010,3857
AL,Native American/Alaskan,Male,15-24,2011,3978
AL,Native American/Alaskan,Male,15-24,2012,4061
AL,Native American/Alaskan,Male,15-24,2013,4100
AL,Native American/Alaskan,Male,15-24,2014,4126
AL,Native American/Alaskan,Male,15-24,2015,4203
AL,Native American/Alaskan,Male,15-24,2016,4170
AL,Native American/Alaskan,Male,15-24,2017,4089
AL,Native American/Alaskan,Male,15-24,2018,4062
AL,Native American/Alaskan,Male,15-24,2019,3978
AL,Native American/Alaskan,Male,15-24,2020,3910
AL,Native American/Alaskan,Male,25-34,2010,3171
AL,Native American/Alaskan,Male,25-34,2011,3157
AL,Native American/Alaskan,Male,25-34,2012,3168
AL,Native American/Alaskan,Male,25-34,2013,3222
AL,Native American/Alaskan,Male,25-34,2014,3267
AL,Native American/Alaskan,Male,25-34,2015,3333
AL,Native American/Alaskan,Male,25-34,2016,3380
AL,Native American/Alaskan,Male,25-34,2017,3438
AL,Native American/Alaskan,Male,25-34,2018,3520
AL,Native American/Alaskan,Male,25-34,2019,3648
AL,Native American/Alaskan,Male,25-34,2020,3794
AL,Native American/Alaskan,Male,35-54,2010,7696
AL,Native American/Alaskan,Male,35-54,2011,7574
AL,Native American/Alaskan,Male,35-54,2012,7497
AL,Native American/Alaskan,Male,35-54,2013,7404
AL,Native American/Alaskan,Male,35-54,2014,7331
AL,Native American/Alaskan,Male,35-54,2015,7259
AL,Native American/Alaskan,Male,35-54,2016,7146
